SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"6"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A6,1000,0.4013,401.28
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,25,4.4460,111.15
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,50,2.2866,114.33
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,75,1.5879,119.09
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,100,1.2197,121.97
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,250,0.5780,144.50
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,500,0.3239,161.96
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,1000,0.2953,295.34
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,25,4.7660,119.15
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,50,2.5266,126.33
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,75,1.8279,137.09
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,100,1.4597,145.97
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,250,0.7260,181.50
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,500,0.4219,210.96
"6"" x 9""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A6,1000,0.3933,393.34
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,25,3.9967,99.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,50,2.4677,123.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,75,1.9871,149.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,100,1.6991,169.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,250,0.9182,229.54
