SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,75,0.6896,51.72
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,100,0.5669,56.69
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,250,0.2933,73.32
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,500,0.1740,86.99
"4.25"" x 6""",Rectangle,,14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,1000,0.1539,153.86
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,25,1.2070,30.18
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,50,0.6511,32.56
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,75,0.5292,39.69
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.4287,42.87
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.2160,53.99
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.1143,57.16
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.1000,100.03
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,25,1.4830,37.08
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,50,0.8251,41.26
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,75,0.7105,53.29
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,100,0.5827,58.27
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,250,0.3060,76.49
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,500,0.1803,90.16
"4.25"" x 6""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,1000,0.1570,157.03
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.3969,39.69
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.1969,49.23
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1080,53.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.0953,95.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,100,0.5509,55.09
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,250,0.2869,71.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,500,0.1740,86.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,1000,0.1523,152.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4287,42.87
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2096,52.39
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,500,0.1143,57.16
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,1000,0.1000,100.03
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,100,0.5827,58.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,250,0.2996,74.89
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,500,0.1803,90.16
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,1000,0.1570,157.03
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.4446,44.46
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.2223,55.57
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.1207,60.34
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.1032,103.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,100,0.5986,59.86
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,250,0.3123,78.07
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,500,0.1867,93.34
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,1000,0.1602,160.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.3969,39.69
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.1969,49.23
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1080,53.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.0953,95.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,100,0.5509,55.09
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,250,0.2869,71.73
