SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1305,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1065,106.52
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5731,57.31
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2737,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1432,71.60
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1145,114.46
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5731,57.31
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2737,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1432,71.60
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1145,114.46
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2604,65.10
