SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.3176,317.57
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.1956,489.06
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.1366,682.78
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,500,0.4541,227.06
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,1000,0.3144,314.39
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,2500,0.1944,485.89
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,5000,0.1359,679.60
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,500,0.5677,283.83
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,1000,0.3930,392.99
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,2500,0.2429,607.37
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,5000,0.1699,849.50
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.5677,283.83
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.3930,392.99
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2429,607.37
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1699,849.50
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,500,0.5677,283.83
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,1000,0.3930,392.99
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,2500,0.2429,607.37
"4"" x 6""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,5000,0.1699,849.50
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,500,0.5081,254.06
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,1000,0.4001,400.14
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,2500,0.2299,574.81
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,5000,0.1635,817.74
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,0.5018,250.88
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.3970,396.98
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,2500,0.2287,571.63
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,5000,0.1629,814.58
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,5000,0.2036,"1,018.22"
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.5335,266.75
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.4208,420.79
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.2414,603.39
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.1718,859.03
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,0.5272,263.58
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.4176,417.60
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.2401,600.22
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.1712,855.86
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,0.6590,329.48
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.5220,522.00
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,2500,0.3001,750.28
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,5000,0.2140,"1,069.83"
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,500,0.6590,329.48
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,1000,0.5220,522.00
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,2500,0.3001,750.28
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,5000,0.2140,"1,069.83"
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,500,0.6590,329.48
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,1000,0.5220,522.00
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,2500,0.3001,750.28
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,5000,0.2140,"1,069.83"
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.4192,209.61
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.2906,290.58
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.1861,465.24
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.1340,670.07
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.4128,206.41
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.2874,287.40
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.1848,462.08
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.1334,666.89
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,0.5160,258.01
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.3592,359.25
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.2310,577.60
"4"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.1667,833.62
