SIZE ,STOCK ,COLORSPEC ,COATING ,,BUSINESS CARD BOX SIZE ,RunSize,UnitPrice,TotalPrice
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 18PT",500,2.9310,"1,465.49"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 18PT",1000,1.6483,"1,648.29"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 18PT",2500,0.9965,"2,491.32"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 18PT",5000,0.7720,"3,860.12"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 500 2"" x 3.5"" 18PT",250,5.9103,"1,477.57"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 500 2"" x 3.5"" 18PT",500,3.3026,"1,651.31"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 500 2"" x 3.5"" 18PT",1000,1.8553,"1,855.27"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 500 2"" x 3.5"" 18PT",2500,1.1518,"2,879.60"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,"Fits 500 2"" x 3.5"" 18PT",5000,0.8732,"4,366.24"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 18PT",250,5.3785,"1,344.63"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 18PT",500,3.0095,"1,504.76"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 18PT",1000,1.6921,"1,692.10"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 18PT",2500,1.0394,"2,598.59"
"9.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 18PT",5000,0.7935,"3,967.38"
