SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.1747,17.47
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.0826,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.0794,39.69
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.0746,74.64
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.1667,16.67
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.0794,19.85
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.0683,34.14
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0627,62.73
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.1747,17.47
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.0826,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.0794,39.69
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.0746,74.64
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.1587,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.0762,19.05
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.0667,33.34
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.0603,60.34
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1429,14.29
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0635,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0540,26.98
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0500,50.03
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.1587,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.0762,19.05
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.0667,33.34
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0603,60.34
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.1747,17.47
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.0826,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.0794,39.69
"2.125"" x 3.375"" (EU Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.0746,74.64
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1747,17.47
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0762,19.05
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0635,31.76
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0588,58.75
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.1905,19.05
"2.5"" x 2.5""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.0889,22.23
