SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.1651,41.29
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.1588,79.40
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.1540,154.02
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.3493,34.93
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.2096,52.39
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.2032,101.62
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1969,196.90
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.3493,34.93
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.2096,52.39
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.2096,104.79
"3.667"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.2032,203.25
"4"" x 4""",Square,18PT Uncoated Kraft,4/1,No Coating,100,0.2223,22.23
"4"" x 4""",Square,18PT Uncoated Kraft,4/1,No Coating,250,0.1270,31.76
"4"" x 4""",Square,18PT Uncoated Kraft,4/1,No Coating,500,0.1080,53.99
"4"" x 4""",Square,18PT Uncoated Kraft,4/1,No Coating,1000,0.1080,107.97
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.2143,21.43
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1143,28.58
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1016,50.82
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1000,100.03
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2541,25.41
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.1588,39.69
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.1493,74.64
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.1445,144.50
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2541,25.41
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.1588,39.69
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.1493,74.64
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.1445,144.50
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.2541,25.41
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1588,39.69
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.1493,74.64
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.1445,144.50
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.2065,20.65
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.1079,26.98
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0985,49.23
"4"" x 4""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0921,92.10
