SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,LAMINATION ,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Red Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Red Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Red Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Red Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Black Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Black Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Black Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Black Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Rose Gold Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Rose Gold Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Rose Gold Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Silk,Rose Gold Foil,5000,0.1568,783.82
