SIZE ,STOCK ,COLORSPEC ,COATING ,,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Copper Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Copper Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Rose Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Rose Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Rose Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Rose Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Blue Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Blue Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Blue Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Blue Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Gold Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Gold Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Gold Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Gold Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silver Foil,500,0.2096,104.79
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silver Foil,1000,0.1207,120.68
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silver Foil,2500,0.1131,282.65
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silver Foil,5000,0.1073,536.69
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Red Foil,500,0.2096,104.79
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Red Foil,1000,0.1207,120.68
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Red Foil,2500,0.1131,282.65
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Red Foil,5000,0.1073,536.69
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Black Foil,500,0.2096,104.79
